"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-01-01",,"35","28"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-01-02",,"41","29"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-01-03",,"44","40"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-01-04",,"44","34"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-01-05",,"46","32"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-01-06",,"49","34"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-01-07",,"35","23"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-01-08",,"24","17"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-01-09",,"40","10"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-01-10",,"41","33"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-01-11",,"35","28"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-01-12",,"40","28"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-01-13",,"44","39"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-01-14",,"44","39"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-01-15",,"47","40"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-01-16",,"47","42"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-01-17",,"45","34"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-01-18",,"40","33"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-01-19",,"37","33"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-01-20",,"37","33"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-01-21",,"38","33"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-01-22",,"41","36"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-01-23",,"41","34"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-01-24",,"41","34"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-01-25",,"38","30"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-01-26",,"40","29"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-01-27",,"38","29"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-01-28",,"38","29"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-01-29",,"36","32"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-01-30",,"34","30"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-01-31",,"35","30"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-02-01",,"40","34"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-02-02",,"39","32"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-02-03",,"38","29"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-02-04",,"43","33"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-02-05",,"39","32"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-02-06",,"34","31"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-02-07",,"37","29"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-02-08",,"36","22"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-02-09",,"37","28"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-02-10",,"32","26"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-02-11",,"37","25"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-02-12",,"34","23"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-02-13",,"33","23"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-02-14",,"31","15"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-02-15",,"23","9"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-02-16",,"33","15"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-02-17",,"33","21"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-02-18",,"42","29"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-02-19",,"41","29"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-02-20",,"41","28"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-02-21",,"41","30"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-02-22",,"45","29"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-02-23",,"37","24"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-02-24",,"37","32"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-02-25",,"40","23"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-02-26",,"42","23"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-02-27",,"50","26"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-02-28",,"45","27"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-03-01",,"47","29"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-03-02",,"39","31"
